state,attributes.Price Range,business_id,full_address,categories,checkin_count
NC,2,xkrhaKM1YtiLEcorBI5zcQ,28012,AllTypes,5
NC,1,EZrCQtZxiEo1kkAYt2EQqw,28012,FastFood,15
NC,2,HPcrrz8uipPQyK-5zd6w9Q,28012,Italian,10
NC,1,cbLaFQJOfzDy_TxMkPee9Q,28012,AllTypes,6
NC,2,W-2Tuk4uWYm5BsdlWju8wg,28012,AllTypes,26
NC,1,Gz2bNUss7Y_dyy_lRtVGEw,28012,American,4
NC,1,c-Pa13Lq1eB0VwLVoyJ7lg,28012,FastFood,12
NC,1,vtJAnB4gBgTJKv3mOnOF_w,28012,FastFood,10
NC,1,qJTHaHFKQIKXKX3I17Nw9w,28012,FastFood,21
NC,1,JkF2CPy63ivoK1FUqprQ7w,28012,Asian,12
NC,2,OkV0BMQxRRYJ5t5sbeU93A,28012,American,73
NC,2,qYuSoVBS_1i_btLzFefDeg,28104,Italian,17
NC,1,5vLVIomtminS_q8itJquEQ,28104,FastFood,14
NC,1,HlvPa_iypwt5RwUHl-Dz3g,28104,Asian,3
NC,1,2VuPoaFPktvtAqTX_Fzc-A,28120,Mexican,28
NC,1,jyF0rwmQEIdDWVtP5vlf3w,28120,American,61
NC,1,7F9e41xxk8Ipjmoou8C20A,28120,Asian,10
NC,1,Z2ks3quiwbkMDY1sVDW9OQ,28120,FastFood,3
NC,1,lX3XYcMWoRlHjrmkoGNefQ,28134,AllTypes,24
NC,1,ji0VxQpFQvzzYMy9fY5fvw,28134,AllTypes,14
NC,1,friprEn-aT_WmhmIF3pGmg,28134,FastFood,58
NC,2,2_0P2AmSSFtPgddio0MgYA,28134,AllTypes,372
NC,2,BO0zz8gort7o-6KuecIv3Q,28134,American,101
NC,1,_Bz6YWNI5bi0gqQI4GLvqQ,28134,American,178
NC,1,DLvH3Ck9R8fO_I89maDNIA,28134,AllTypes,5
NC,2,SVKC_-gIQFkHElZ6bFsE6g,28134,Italian,146
NC,1,l2ynPEBj9S_yN9gjg32tBA,28134,FastFood,28
NC,2,AUDuCSWYzzRP3H2w7TxtuQ,28134,American,137
NC,2,Gw5POFxBRoJxN_ZYhk6lgQ,28226,FastFood,39
NC,2,DE_11y6_vCmPBlbeYskh-Q,28134,American,45
NC,2,4WsTFTH8GgnyFHwrH9nHzA,28134,Italian,148
NC,2,QMZe84KFyZy0IlCBb1v91A,28134,American,26
NC,1,PVooCeYIrp9E2rtrL4R98g,28134,American,24
NC,1,WqPjIMFcT9RTMUumaCvGsw,28134,AllTypes,16
