Price,BusinessId,Category,CheckinCount,lat,long,Cluster
2,xkrhaKM1YtiLEcorBI5zcQ,AllTypes,5,35.248953,-81.022492,0
1,EZrCQtZxiEo1kkAYt2EQqw,FastFood,15,35.253329,-81.027326,0
2,HPcrrz8uipPQyK-5zd6w9Q,Italian,10,35.254633,-81.027722,0
1,cbLaFQJOfzDy_TxMkPee9Q,AllTypes,6,35.24299,-81.028058,0
2,W-2Tuk4uWYm5BsdlWju8wg,AllTypes,26,35.25355,-81.026391,0
1,Gz2bNUss7Y_dyy_lRtVGEw,American,4,35.243155,-81.028482,0
1,c-Pa13Lq1eB0VwLVoyJ7lg,FastFood,12,35.251298,-81.025964,0
1,vtJAnB4gBgTJKv3mOnOF_w,FastFood,10,35.252694,-81.041502,0
1,qJTHaHFKQIKXKX3I17Nw9w,FastFood,21,35.251806,-81.043354,0
1,JkF2CPy63ivoK1FUqprQ7w,Asian,12,35.252747,-81.042216,0
2,OkV0BMQxRRYJ5t5sbeU93A,American,73,35.244676,-81.037397,0
2,qYuSoVBS_1i_btLzFefDeg,Italian,17,35.084143,-80.697074,2
1,5vLVIomtminS_q8itJquEQ,FastFood,14,35.085443,-80.696968,2
1,HlvPa_iypwt5RwUHl-Dz3g,Asian,3,35.026377,-80.763045,1
1,2VuPoaFPktvtAqTX_Fzc-A,Mexican,28,35.303563,-81.02722,0
1,jyF0rwmQEIdDWVtP5vlf3w,American,61,35.291215,-81.024159,0
1,7F9e41xxk8Ipjmoou8C20A,Asian,10,35.299168,-81.02084,0
1,Z2ks3quiwbkMDY1sVDW9OQ,FastFood,3,35.288923,-81.020392,0
1,lX3XYcMWoRlHjrmkoGNefQ,AllTypes,24,35.086948,-80.871878,1
1,ji0VxQpFQvzzYMy9fY5fvw,AllTypes,14,35.0822,-80.877225,1
1,friprEn-aT_WmhmIF3pGmg,FastFood,58,35.086987,-80.871765,1
2,2_0P2AmSSFtPgddio0MgYA,AllTypes,372,35.076521,-80.882357,1
2,BO0zz8gort7o-6KuecIv3Q,American,101,35.086634,-80.87693,1
1,_Bz6YWNI5bi0gqQI4GLvqQ,American,178,35.088417,-80.878913,1
1,DLvH3Ck9R8fO_I89maDNIA,AllTypes,5,35.089113,-80.876906,1
2,SVKC_-gIQFkHElZ6bFsE6g,Italian,146,35.08529,-80.879846,1
1,l2ynPEBj9S_yN9gjg32tBA,FastFood,28,35.084106,-80.878954,1
2,AUDuCSWYzzRP3H2w7TxtuQ,American,137,35.088633,-80.877012,1
2,Gw5POFxBRoJxN_ZYhk6lgQ,FastFood,39,35.089035,-80.867055,1
2,DE_11y6_vCmPBlbeYskh-Q,American,45,35.085706,-80.878952,1
2,4WsTFTH8GgnyFHwrH9nHzA,Italian,148,35.086418,-80.877383,1
2,QMZe84KFyZy0IlCBb1v91A,American,26,35.086232,-80.881164,1
1,PVooCeYIrp9E2rtrL4R98g,American,24,35.114191,-80.912923,0
1,WqPjIMFcT9RTMUumaCvGsw,AllTypes,16,35.111819,-80.915583,0
