business_id,checkin_count
cE27W9VPgO88Qxe4ol6y_g,9
mVHrayjG3uZ_RLHkLj-AMg,10
KayYbHCt-RkbGcPdGOThNg,21
wJr6kSA5dchdgOdwH6dZ2w,12
yXuao0pFz1AxB21vJjDf5w,13
fNGIbpazjTRdXgwRY_NIXA,7
b9WZJp5L1RZr4F1nxclOoQ,87
zaXDakTd3RXyOa7sMrUE1g,14
zgy27FSnvwdINfk5cXBIyQ,6
WETE_LykpcnrC1sFcQ5EGg,7
SQ0j7bgSTazkVQlF5AnqyQ,4
wqu7ILomIOPSduRwoWp4AQ,28
P1fJb2WQ1mXoiudj8UE44w,63
PK6aSizckHFWk8i0oxt5DA,19
3gmBc0qN_LtGbZAjTtHWZg,134
yHTLTr-QN-loO_7XoxS8qg,41
6ilJq_05xRgek_8qUp36-g,77
MKyk4F4HSzHF8v-4cYe3Ww,45
gClSqcwuLsgyZRCzhJc7Dg,104
1qCuOcks5HRv67OHovAVpg,36
sbW8qHJgzEIH42B0S-3New,170
McikHxxEqZ2X0joaRNKlaw,377
tv8cS4aaA1VDaInYgggb6g,107
eT5Ck7Gg1dBJobca9VFovw,141
HwwEfnZKLNOUoqfgcwAgcQ,103
EoAY1JSVeJriBzId8lUQwQ,146
uI0LvTXFACid1308KFO5ew,49
tU-YtoW339PXJmUGSix_AQ,95
6p9TlP2I8S4agxYMNFSDjg,96
XhbC5Qj5nBcqcKLPRd8izQ,13
JDDeaNfb0JXD1NbznSIC9g,218
oPX8bpZ3dqviYQuic0Ahqw,8
FiXamVMgMf9U0VqFHDZSEA,77
ISKLP0qxApATxRlUDob6Cg,204
DMy5IG-dNrH4ARk96KngEA,6
rdATJvFQK4C73NIQ3zoY3w,32
g10zmpUzmMJOOIjj_JJPvg,38
eznh0XjVtv924K-KYx_ilQ,41
LQFWH1AKJlXGmEBlIKsBCw,53
LO2CjrNL8DXkvm9uALgRjQ,24
usSROUMiAgPcxV3Ym0OxMQ,127
qfL7ZFkxqDZOPIaVVfT3Aw,23
GlYPVYSOVT7zn00Kk_Oz4g,48
CL3tZqbYT7B5zgewKCS6-Q,4
u22QDAON1kk0wjoTliyftw,4
4ykgzzzGEWjMD5lwk1-l9A,3
53Yk2EODWnV9qHQECzeHVQ,3
iwZqvirc-2e0t8lQEXBlvA,3
LiMXTPwanF3LkkKHklFCjw,36
r8BwdblCW-ZUES37BL0khw,11
OZfpG8tDCcIEq8pzgZdyKw,18
T49ZvBa6mD4xHSmjHe-ArA,6
eOv0Dbq2E8sd0CKMAqTImw,8
_jsJFrAmFVPRio0eEVExbA,10
dEuJ4A6v1lUDKF8wWwxy_w,3
jTAKV9zLlAjouAKh4Wd7Yg,32
7wT532x2Qz5Hw9BqtBapqw,10
kKmvSJ6Z8UVPdrnL74bqrg,14
ucKQlQvOeJxETLNkpKcaSw,34
Rjx8GcWuCzfVsKC5iPIcQA,9
s74Tq6WKV1b91UFRr7ch7g,18
ZL6DNzyenFm9Kpz6uADlNg,33
BG4N0V93wml9kaU6YYRxRA,60
rM-yscH8mBLYvpWnmvuPMw,5
OcTG-KzDleuRub-pb6JS3Q,4
Y2p07YEC8xOsYTHWf0UxiA,9
g58NW9q4F09wTMiI7EIjmg,13
Pu5uzlZ05pqVlx6LcZbfgw,9
VkFDer80GOrelWALdgNReg,216
vXBc-i30S0eypUVy7TA6cw,16
UFhcxnTzfLO-ROftyP_ukw,5
83_p9vIqOq1TUIf3_GD7bA,183
1xRLO1NM8-3soskp2fEgyw,24
Ts4xsKPU7FNPPZRj-nRjIg,558
UtWJ8NGMg-3z28s0RzlUoQ,11
Nnk1gNKSi_12ziNuK2llxA,3
Px-EjhtV9XJcEs1ty4giAg,3
t15LDNaHFpu-bAEJSdoV-g,5
bZcqORBnVApUA2-SEn7VEQ,10
WWlNzfSllSQhr4whj0W_ng,10
R03p_2AxXpNtM31lutbnkA,18
YMEtEsUDQKOYJOcE5Fx3gQ,35
-raHHPz6kBnQgBH-oCuDFA,12
1IwQhGGOrVNGGQskR_3uLw,26
ZDKi3qsO8lSSogrIdbLJKg,37
qA1PXTv0snTO1gpNPm-Jfw,247
riqqVx-LssGUErBeQisKng,52
B9C6j80ob0f1pwi1Cnnd1Q,17
wfCLz9-aeShbPB7CaTY-qQ,975
XC9blQA9Mk4w7oKVJ0nJXw,12
2SwC8wqpZC4B9iFVTgYT9A,236
PzG0XmAmtXFs6Fdnubf41g,165
lHP5STO7aomlEQixH8m1aA,27
0TvxDhCKPQ-_dDyffEnJQQ,8
-iVcmhjfq79QoTWzrb6pKg,233
PavTvJ4JSe9rAwjlr-wrsg,75
5V1K5DRpGrObijbtCuPbcg,41
l_Wey2YC6NvVUIH8vTygGg,34
XWLtYPhCpHht5Zn52zp3-Q,42
cuuJJ9W3tYmidaLvlzvPBw,31
2PfavOTufsPCRdYm-bFcpw,364
qUeBDN0D8SC93KeAHhiL-g,73
VkqKyq09rDYMhFk5nElWWA,4
QIJa5h2d65Bgh82zct7c7A,18
PTkChuI3GPCw-ZL1Iph76A,10
YRDKsBFYP7G0E8BLJKIkvA,94
IxQ1ATP_Wg_QujO9nywzcQ,168
TyIsuojeKcTb4Acfg7xqew,9
oj8bMz76cKXQClpFTFNW9w,5
hBAcj7X5JHeX2hvmptwH-w,45
k1A8pNspBPinGDivxkuDSA,22
Z7HNl4Gz00cA0_wt0S-vSw,46
OjzR6hUYasFReo0vhVn0-w,28
6AnorAMPkTdSDbUkOoV1Rw,24
0Ov1O2Gd0dwjkSaj5NJbhg,19
EEuGTah-oEssSl3o6pK-ZQ,96
49nxzKLr2qQnLF58qo2p1w,3
q_BKmbdlYfQJroJVHfYMUQ,61
zq--BGVHu7_fb1VHEwg2ow,3
cZl7-Um4HiJWFgDVmMan2Q,25
vMCCvnDU-Iz_D_pmbcMqzA,6
hUV4bjXE8Ijd-pDNr8S6mA,6
Z101WZaISochG6g7tI2ZVw,107
-Gfj1gA0Ir07zToO-4fBpw,143
Eixtf79t1_ZKaC-7J2kAWg,3
Z0OGW8PysysRXE0dR7QxQQ,11
5GS5sBSscgcex0IFTDL9Bg,70
URGZtJhOCrbJ8-RkLvslOg,4
fB7XYJYrTtchlTmzSQVMbQ,134
obAdXU3RULuUOww759_h_w,5
YUZVBdGmagwXV-yOhR-1GQ,9
OIL-eZX8d10jgWPLW-E7zA,14
N2DwycuZl95miWf39Yskaw,19
PSlOtPIo28BvWOzdLmRRRQ,9
H9R8b2pgn3NQhQHesEUEiQ,3
7KjZ49Xrb6QWjnu5NlxzVw,47
Wnn1GtvvtnkFdPfdRcYW-Q,11
9NL2GL4jSPVj9SKijH5PqA,175
uie9L4ZrCvDdkSdByOVTLQ,76
wan0X-oHpLgGTPXqaICZCw,10
05l84gPaZX2IWaIaoAq3hg,18
QnyzlVMyx0Exri-Lay10cA,25
81sqVj0xHyJXGYT0ip5fmQ,8
Wn5bLgkx_S7W1q2TeoLL1g,11
m61vZsAxmTEq3uiCjFjM8Q,65
WY6FFxpa6ztwDH5OhS6WDw,11
nvrXLcmknaYuiGRquWhwIQ,5
93UCt9OgWYmypZCpXtUu8g,106
WYXbVUx79W30tW9PI9phIA,5
LV_OCiR9rOHVHgdhbpqw2Q,21
cRv7pLvIe3eI0efndQBcLg,15
ORTRrw3ClZ0Ld0LgY1H_5g,47
9aw0t0rlACKkMaxsX0KlKA,31
-xymuZ9qLUwGQBD9FxldGQ,16
5Udv4CASAXB2eH66TefWPQ,120
l4zq494c6zfNUJrMcd9Y1w,4
2Igiyhi82R8_QaaPplRmCw,379
Cex2R008tMFg8R5fAtf77w,64
BrzQp0bjp0cwmUzXxLszjQ,3
n7G2XFGvmS3duDJ4AzjKiQ,50
8tBfgYCI6Fz9xrSYCYCYXA,5
Tb7hQ37UFA2QFaMwjFieQw,6
21hqlWgjmNgW4pBZJDuziQ,10
qemCNgjeYGcFsRwxW9x4xw,107
iudRNo5Q8W7firUBYJEqQQ,5
9rbWt_PX8qVVN-nEJv3A9Q,10
oTojBCc-Lex09Fww3QmWWg,33
WxN-aV_puFazt3UGNLlw0A,4
2X5G4Ujq0s4Wfn4TC7gX0g,545
evIbqjnN4ePd9eT4L4WsIw,12
7lDNKKxMV84KIS1OVZOepw,10
XQ7elqSFIRogvqpiTZz-Wg,36
JL5B_s1EoN4zIru4JSw4Qg,40
D9sHwmqlNkrVxmX-057i1g,12
DzOPHyrG2XuVqKEvHCnN7w,28
_8xYpVdKMllhuuf4PIvq8w,34
K8Ebs8G1rwc3DBdznHvDxg,9
SNJHgqJPj5SZhntFdsDUeg,32
IraPoq6RFLTX9KCuT0UsGw,4
h3la53L9-OX_HlfeAySh0Q,35
eXWCtwGcaJgMz6WRNR9Beg,9
1vQLTKwmcmZXtNzfKEvMmA,59
hhNlQWaKqGbMPoeZHoL-IQ,303
EiKoZpEcjG1B_r8G9laAxg,9
zvqxmVZgJ0XpJfb1Xn5jKQ,69
SgQYRICpMdWCmY7wM2Cmcw,54
uwiD9jxs09xxXG0by_xKuA,46
f0eAe5PZMy_MEvxEEBYAcQ,45
sNmQJQWEVGheCnw5Tf4Phg,74
jrSGpWnVJy8jqgN6XSC7Nw,8
KZXtzoI84iI1CEcAnD7OPA,80
zhQzX3CxM0tdBXwGUWmxGA,37
c1ixeRdwTvNt6YLew-sSCg,10
AJiwOb0s5zpYu0NW7Jvrpg,21
zpNGtjBlIkDq_PLGSCPlAg,109
chDzLfj8CqvsJq4wzW1ZqQ,19
Ml6Up5SH9GbJQ8oyIJsj_g,20
ZS7-I04iDm4oRP_GJsJqrA,35
xSYGuHecEWP7At0HYbO5Jg,47
7ijQJV72aBrEoJCtTBCHxw,345
OmpbTu4deR3ByOo7btTTZw,10
ih6d7hBWss05xXWUznuFaw,58
